№ п/п,№ п/п (по субъектам),"Регистрационный номер в едином государственном реестре объектов культурного наследия (памятников истории 
и культуры) народов Российской Федерации",Наименование объекта культурного наследия,"Датировка, автор",Категория историко-культурного значения объекта культурного наследия,Вид объекта культурного наследия,"Номер акта органа государственной власти
о постановке
на государственную охрану
и о внесении
изменений
в описание*",Тип улицы,Название улицы,Номер дома
521,185,661711306090005,Корпус рукодельный,XIX в.,регионального значения,памятник,859-ПП,,"ул. Декабристов, д. 87",
522,186,661711306040005,Завод свечной,XIX в.,регионального значения,памятник,859-ПП,,"ул. Декабристов, д. 87",
523,187,661711306080005,Конюшня,XIX в.,регионального значения,памятник,859-ПП,,"ул. Декабристов, д. 87",
524,188,661711306060005,"Амбар хлебный (пекарня, церковно-приходская школа)",XIX в.,регионального значения,памятник,859-ПП,,"ул. Декабристов, д. 87",
525,189,661711306070005,Постройки хозяйственные,XIX в.,регионального значения,памятник,859-ПП,,"ул. Декабристов, д. 87",
526,190,661710776280006,Александро-Невский собор,XIX в.,федерального значения,памятник,624,,район Зеленой рощи,
527,191,661710944050005,Дом жилой,"вторая половина
XIX в.",регионального значения,памятник,859-ПП,,"ул. Добролюбова, д. 8",
528,192,661721097780005,Усадьба Е.С. Бородиной,"середина 
XIX в.",регионального значения,ансамбль,75,,"ул. Добролюбова, д. 9, 9а",
529,193,661711097780045,двухэтажный каменный жилой дом,,регионального значения,памятник,,,,
530,194,661711097780055,двухэтажный полукаменный флигель,,регионального значения,памятник,,,,
531,195,661711097780015,ворота и ограда,,регионального значения,памятник,,,,
532,196,661721097780025,сад,,регионального значения,ансамбль,,,,
533,197,661721097780035,"элементы благоустройства (гранитные плиты тротуаров, столбики)",,регионального значения,ансамбль,,,,
534,198,661721097650005,"Усадьба купчихи 
К.И. Ланггауз",первая треть XIXв.,регионального значения,ансамбль,75; 1056-ПП,,"ул. Добролюбова, д. 10",
